  Source.cpp
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(4): warning C4305: 'argument': truncation from 'double' to 'GLclampf'
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(25): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(26): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(27): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(29): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(33): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(34): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(35): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(36): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(37): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(41): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(42): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(43): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(44): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(45): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(49): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(50): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(51): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(52): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(53): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(59): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(60): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(61): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(62): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(63): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(67): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(68): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(69): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(70): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(71): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(75): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(76): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(77): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(78): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(79): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(85): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(86): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(87): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(88): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(90): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(91): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(93): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(94): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(96): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(97): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(99): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(100): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
c:\users\lenovo\documents\visual studio 2015\projects\opengl_gamemap\opengl_gamemap\source.cpp(101): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
